"VA Station Number",Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
vha_672GA,"10553 Kingshill","St. Croix",VI,00850-4701,17.734211,-64.734694,0.33,place,,,,,Kingshill,VI,"St. Croix Island",00850,US,"TIGER/Line® dataset from the US Census Bureau",2019,78,78010,,,970400,1008,1,780109704001008,,,,,,,
vha_672GB,"50 Estates Thomas","Saint Thomas",VI,802,18.322285,-64.963715,0.33,place,,,,,"Saint Thomas",VI,"St. Thomas Island",00801,US,"TIGER/Line® dataset from the US Census Bureau",2019,78,78030,,,990000,0009,0,780309900000009,,,,,,,
vha_672GC,"Avenida VÃ­ctor Rojas II",Arecibo,PR,616,18.402239,-66.7114,1,place,,,,,Arecibo,PR,"Arecibo Municipio",00612,US,"TIGER/Line® dataset from the US Census Bureau",2019,72,72013,,,301600,4022,4,720133016004022,"Arecibo, PR",11640,metropolitan,"San Juan-Bayamón, PR",490,,
vha_672GD,"PR-3, Kilometers 54.9","Pueblo Ward",PR,735,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
vha_672GE,"850 Calle Arnaldo Bristol",Guayama,PR,00784-6876,18.010721,-66.133613,0.33,place,,,,,Guayama,PR,"Guayama Municipio",00784,US,"TIGER/Line® dataset from the US Census Bureau",2019,72,72057,,,270100,3022,3,720572701003022,"Guayama, PR",25020,metropolitan,"San Juan-Bayamón, PR",490,,
vha_672QA,"Jose de Diego Street",Comerio,PR,00782-2531,18.224958,-66.219885,1,place,,,,,Comerio,PR,"Comero Municipio",00782,US,"TIGER/Line® dataset from the US Census Bureau",2019,72,72045,Comerío,7219665,951900,1004,1,720459519001004,"San Juan-Bayamón-Caguas, PR",41980,metropolitan,"San Juan-Bayamón, PR",490,,
vha_672QB,"Calle Isaac Gonzalez Esquina Ledesma",Utuado,PR,00641-2660,18.250027,-66.698957,1,place,,,,,Utuado,PR,"Utuado Municipio",00641,US,"TIGER/Line® dataset from the US Census Bureau",2019,72,72141,,,957200,3015,3,721419572003015,"Aguadilla-Isabela, PR",10380,metropolitan,,,,
vha_672QC,"Road 997",Vieques,PR,00765-0326,18.123347,-65.460356,1,place,,,,,Vieques,PR,"Vieques Municipio",00765,US,"TIGER/Line® dataset from the US Census Bureau",2019,72,72147,,,950500,2037,2,721479505002037,,,,,,,
vha_673,"13000 Bruce B. Downs Boulevard",Tampa,FL,33612-4745,28.064564,-82.427682,1,rooftop,13000,"Bruce B Downs Blvd",,,Tampa,FL,"Hillsborough County",33612,US,"Hillsborough County",2019,12,12057,University,1273163,010814,2000,2,120570108142000,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673BV,"4700 North Habana Avenue",Tampa,FL,33606-7160,27.985872,-82.489513,0.9,rooftop,4700,"N Habana Ave",,,Tampa,FL,"Hillsborough County",33614,US,Loveland,2019,12,12057,Tampa,1271000,002500,3001,3,120570025003001,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673BZ,"9912 Little Road","New Port Richey",FL,34654-3419,28.30146,-82.66907,1,rooftop,9912,"Little Rd",,,"New Port Richey",FL,"Pasco County",34654,US,Statewide2,2019,12,12101,,,031008,2007,2,121010310082007,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673GB,"4237 South Pipkin Road",Lakeland,FL,33811-1442,27.98764,-81.997263,1,rooftop,4237,"Pipkin Rd S",,,Lakeland,FL,"Polk County",33811,US,Polk,2019,12,12105,Lakeland,1238250,011902,1007,1,121050119021007,"Lakeland-Winter Haven, FL",29460,metropolitan,"Orlando-Lakeland-Deltona, FL",422,,
vha_673GC,"14540 Cortez Boulevard",Brooksville,FL,34613-6001,28.532758,-82.48427,1,rooftop,14540,"Cortez Blvd",,,Brooksville,FL,"Hernando County",34613,US,Hernando,2019,12,12053,"Spring Hill",1268350,040909,2003,2,120530409092003,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673GF,"6937 Medical View Lane",Zephyrhills,FL,33542-6648,28.258438,-82.182851,1,rooftop,6937,"Medical View Ln",,,Zephyrhills,FL,"Pasco County",33542,US,Pasco,2019,12,12101,Zephyrhills,1279225,032804,2009,2,121010328042009,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673GG,"12920 Summerfield Crossing Boulevard",Riverview,FL,33579-7210,27.798591,-82.331564,1,rooftop,12920,"Summerfield Crossing Blvd",,,Riverview,FL,"Hillsborough County",33579,US,"Hillsborough County",2019,12,12057,Riverview,1260950,013915,1028,1,120570139151028,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673GH,"2804 West Marc Knighton Court",Lecanto,FL,34461,28.905977,-82.480722,1,rooftop,2804,"W Marc Knighton Ct",,,Lecanto,FL,"Citrus County",34461,US,"Citrus County",2019,12,12017,"Black Diamond",1206667,450304,3343,3,120174503043343,"Homosassa Springs, FL",26140,metropolitan,,,,
vha_673QA,"14014 North 46th Street",Tampa,FL,33612-9998,28.074118,-82.410786,0.9,rooftop,14014,"N 46th St",,,Tampa,FL,"Hillsborough County",33613,US,"Hillsborough County",2019,12,12057,University,1273163,010812,1013,1,120570108121013,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673QB,"10770 North 46th Street",Tampa,FL,33617-3442,28.047464,-82.411104,1,rooftop,10770,"N 46th St",,,Tampa,FL,"Hillsborough County",33617,US,"Hillsborough County",2019,12,12057,Tampa,1271000,000101,1007,1,120570001011007,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673QC,"4231 South Pipkin Road",Lakeland,FL,33811-1442,27.988034,-81.99728,1,rooftop,4231,"Pipkin Rd S",,,Lakeland,FL,"Polk County",33811,US,Polk,2019,12,12105,Lakeland,1238250,011902,1007,1,121050119021007,"Lakeland-Winter Haven, FL",29460,metropolitan,"Orlando-Lakeland-Deltona, FL",422,,
vha_673QD,"5138 Deer Park Boulevard","New Port Richey",FL,34653-7027,28.234487,-82.667713,1,rooftop,5138,"Deer Park Dr",,,"New Port Richey",FL,"Pasco County",34653,US,Statewide2,2019,12,12101,,,031705,1004,1,121010317051004,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673QE,"110210 US Highway 19 North","New Port Richey",FL,34668-2213,28.293896,-82.709308,0.6,street_center,,"State Hwy 55",,,"Port Richey",FL,"Pasco County",34668,US,"TIGER/Line® dataset from the US Census Bureau",2019,12,12101,"Jasmine Estates",1235350,031005,1000,1,121010310051000,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673QF,"14517 Bruce B. Downs Boulevard",Tampa,FL,33613-2755,28.080058,-82.422233,1,rooftop,14517,"Bruce B Downs Blvd",,,Tampa,FL,"Hillsborough County",33613,US,"Hillsborough County",2019,12,12057,University,1273163,010813,1000,1,120570108131000,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
vha_673QG,"7701 Little Road","New Port Richey",FL,34652-5403,28.268898,-82.675204,0.9,rooftop,7701,"Little Rd",,,"New Port Richey",FL,"Pasco County",34654,US,Statewide2,2019,12,12101,,,030905,1001,1,121010309051001,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,,,,
