VA Station Number,Address,City,State,Zip
vha_674,1901 Veterans Memorial Drive,Temple,TX,76504-7451
vha_674A4,4800 Memorial Drive,Waco,TX,76711-1329
vha_674BY,7901 Metropolis Drive,Austin,TX,78744-3111
vha_674GA,2000 South Loop 256,Palestine,TX,75801-5977
vha_674GB,2600 Memorial Park Drive,Brownwood,TX,76801-5950
vha_674GC,1651 Rock Prairie Road,College Station,TX,77845-8652
vha_674GD,1401 Medical Parkway,Cedar Park,TX,78613-2216
vha_674GF,4501 South General Bruce Drive,Temple,TX,76502-1466
vha_674HB,2 Saint Marks Place,LaGrange,TX,78945-1251
vha_675,13800 Veterans Way,Orlando,FL,32827-5812
vha_675GA,2900 Veterans Way,Viera,FL,32940-8007
vha_675GB,551 National Health Care Drive,Daytona Beach,FL,32114-1495
vha_675GC,2285 North Central Avenue,Kissimmee,FL,34741-2342
vha_675GD,1200 Deltona Boulevard,Deltona,FL,32725-6386
vha_675GE,1390 East Burleigh Boulevard,Tavares,FL,32778-4305
vha_675GF,805 Oakley Seaver Drive,Clermont,FL,34711-1968
vha_675GG,5201 Raymond Street,Orlando,FL,32803-8208
vha_675QB,3731 South Clyde Morris Boulevard,Port Orange,FL,32129-2319
vha_675QC,1821 Business Park Boulevard,Daytona Beach,FL,32114-1230
vha_675QD,925 South Semoran Boulevard,Winter Park,FL,32792-5313
vha_675QE,5201 Raymond Street,Orlando,FL,32803-8208
vha_675QG,5200 Babcock Street Northeast,Palm Bay,FL,32905-4612
vha_676,500 East Veterans Street,Tomah,WI,54660-3105
vha_676GA,515 South 32 Avenue,Wausau,WI,54401-4074
vha_676GC,2600 State Road,La Crosse,WI,54601-6157
vha_676GD,700 Hale Street,Wisconsin Rapids,WI,54495-2780
vha_676GE,8 Johnson Street,Owen,WI,54460-9534
vha_676QA,500 East Veterans Street,Tomah,WI,54660-3105
vha_678,3601 South Sixth Avenue,Tucson,AZ,85723-0001
vha_678GA,101 North Coronado Drive,Sierra Vista,AZ,85635-6359
vha_678GB,3111 South 4th Avenue,Yuma,AZ,85364-8122
vha_678GC,1876 East Sabin Drive,Casa Grande,AZ,85122-6198
vha_678GD,355 North 8th Avenue,Safford,AZ,85546-2694
vha_678GE,380 West Vista Hermosa Drive,Green Valley,AZ,85614-1901
vha_678GF,2945 West Ina Road,Tucson,AZ,85741-2109
vha_678GG,7395 South Houghton Road,Tucson,AZ,85747-3305
vha_678QA,157 North Coronado Drive,Sierra Vista,AZ,85635-6360
vha_678QB,1179 East Cottonwood Lane,Casa Grande,AZ,85122-2969
vha_679,3701 Loop Road East,Tuscaloosa,AL,35404-5099
vha_679GA,206 Vaughn Memorial Drive,Selma,AL,36701-6949
vha_679HK,3701 Loop Road East,Tuscaloosa,AL,35404-5099
vha_687,77 Wainwright Drive,Walla Walla,WA,99362-3975
vha_687GA,825 Jadwin Avenue,Richland,WA,99352-3589
vha_687GB,1630 23rd Avenue,Lewiston,ID,83501-6350
vha_687GC,202 12th Street,La Grande,OR,97850-2879
vha_687HA,717 Fruitvale Boulevard,Yakima,WA,98902-1465
vha_687QB,2 Marine Drive,Boardman,OR,97818
vha_687QC,401 Northeast 1st Street,Enterprise,OR,97828-1186
vha_688,"50 Irving Street, Northwest",Washington,DC,20422-0001
vha_688GA,9300 Dewitt Loop,Fort Belvoir,VA,22060-5285
vha_688GB,"820 Chesapeake Street, Southeast",Washington,DC,20032-3428
vha_688GD,29431 Charlotte Hall Road,Charlotte Hall,MD,20622-3042
vha_688GE,5801 Allentown Road,Camp Springs,MD,20746-4563
vha_688GF,15810 Gaither Drive,Gaithersburg,MD,20877-1429
vha_688GG,45870 East Run Boulevard,Lexington Park,MD,20653-2383
vha_688QA,1500 Franklin Street Northeast,Washington,DC,20018-2000
vha_689,950 Campbell Avenue,West Haven,CT,06516-2770
vha_689A4,555 Willard Avenue,Newington,CT,06111-2631
vha_689GA,95 Scovill Street,Waterbury,CT,06706-1113
vha_689GB,1275 Summer Street,Stamford,CT,06905-5315
vha_689GC,1320 Main Street,Willimantic,CT,06226-1940
vha_689GD,115 Spencer Street,Winsted,CT,06098-1140
vha_689GE,7 Germantown Road,Danbury,CT,06810-5000
vha_689GF,200 Edison Road,Orange,CT,06477-3602
vha_689HC,4 Shaw's Cove,New London,CT,06320-4956
vha_689QA,114 Orange Avenue,West Haven,CT,06516-2043
vha_691,11301 Wilshire Boulevard,Los Angeles,CA,90073-1003
vha_691A4,16111 Plummer Street,Sepulveda,CA,91343-2036
vha_691GB,4440 Calle Real,Santa Barbara,CA,93110-1002
vha_691GC,1149 West 190th Street,Gardena,CA,90248-4303
vha_691GD,1801 Westwind Drive,Bakersfield,CA,93301-3028
vha_691GE,351 East Temple Street,Los Angeles,CA,90012-3328
vha_691GF,5426 East Olympic Boulevard,Commerce,CA,90022-5113
vha_691GG,340 East Avenue I,Lancaster,CA,93535-1941
vha_691GK,1288 Morro Street,San Luis Obispo,CA,93401-6302
vha_691GL,1550 East Main Street,Santa Maria,CA,93454-4819
vha_691GM,1690 Universal Circle Drive,Oxnard,CA,93033-9164
vha_691GP,7 North Foothill Boulevard,Arcadia,CA,91006-2367
vha_692,8495 Crater Lake Highway,White City,OR,97503-3011
vha_692GA,2225 North Eldorado Boulevard,Klamath Falls,OR,97601-6417
vha_692GB,1877 Williams Highway,Grants Pass,OR,97527-5802
vha_693,1111 East End Boulevard,Wilkes-Barre,PA,18711-0030
vha_693B4,3110 Hamilton Boulevard,Allentown,PA,18103-3630
vha_693GA,1537 North Elmira Street,Sayre,PA,18840-9254
vha_693GB,1705 Warren Avenue,Williamsport,PA,17701-2665
vha_693GC,Tobyhanna Army Depot,Tobyhanna,PA,18466-5000
vha_693GF,26 Columbia Mall Drive,Bloomsburg,PA,17815-8304
vha_693GG,701 Slate Belt Boulevard,Bangor,PA,18013-9341
vha_693QA,600 Maple Avenue,Honesdale,PA,18431-1439
vha_695,5000 West National Avenue,Milwaukee,WI,53295-1000
vha_695BY,10 Tri-Park Way,Appleton,WI,54914-1658
vha_695GA,21425 Spring Street,Union Grove,WI,53182-9707
vha_695GC,1205 North Avenue,Cleveland,WI,53015-1413
vha_695GD,2851 University Avenue,Green Bay,WI,54311-5855
vha_695QA,1818 North Martin Luther King Drive,Milwaukee,WI,53212-3640
vha_740,2601 Veterans Drive,Harlingen,TX,78550-8942
vha_740GA,2106 Treasure Hills Boulevard,Harlingen,TX,78550-8736
vha_740GB,901 East Hackberry Avenue,McAllen,TX,78501-6502
vha_740GC,5283 Old Brownsville Road,Corpus Christi,TX,78405-3908
vha_740GD,4602 North Bartlett Avenue,Laredo,TX,78041-3803
vha_740GH,205 South Enterprize Parkway,Corpus Christi,TX,78405-4118
vha_740GI,5277 Old Brownsville Road,Corpus Christi,TX,78405-3929
vha_740GJ,3900 North 10th Street,McAllen,TX,78501-1735
vha_740QA,2601 Veterans Drive,Harligen,TX,78550-8942
vha_756,5001 North Piedras Street,El Paso,TX,79930-4210
vha_756GA,3401 Del Rey Boulevard,Las Cruces,NM,88012-8041
vha_756GB,2400 Trawood Drive,El Paso,TX,79936-4122
vha_756GC,1870 Northwestern Drive,El Paso,TX,79912-1121
vha_756GD,5229 Sanders Avenue,El Paso,TX,79924-6409
vha_756QA,350 Revere Street,El Paso,TX,79905
vha_756QB,1250-B East Cliff Drive,El Paso,TX,79902-4823
vha_757,420 North James Road,Columbus,OH,43219-1834
vha_757GA,2800 Maple Avenue,Zanesville,OH,43701-1716
vha_757GB,5775 North Meadows Drive,Grove City,OH,43123-4835
vha_757GC,1203 Delaware Avenue,Marion,OH,43302-6419
vha_757GD,1855 West Main Street,Newark,OH,43055-1135
vha_757QA,420 North James Road,Columbus,OH,43219-1834
vha_757QB,420 North James Road,Columbus,OH,43219-1834
vha_757QC,2720 Airport Drive,Columbus,OH,43219-2219
