VA Station Number,HCS,Address,City,State,County FIPS,Cases,Active,Convalescent,Deaths
vha_581GH,581,2867 Route 65,Williamson,WV,54059.0,,,,
vha_581QA,581,624 Ninth Street,Huntington,WV,54011.0,108.0,16.0,81.0,11.0
vha_581QB,581,1540 Spring Valley Drive,Huntington,WV,54099.0,108.0,16.0,81.0,11.0
vha_583,583,1481 West Tenth Street,Indianapolis,IN,18097.0,522.0,17.0,450.0,55.0
vha_583BU,583,9045 East 59th Street,Indianapolis,IN,18097.0,522.0,17.0,450.0,55.0
vha_583GA,583,380 West Honey Creek Drive,Terre Haute,IN,18167.0,,,,
vha_583GB,583,2100 South Liberty Drive,Bloomington,IN,18105.0,,,,
vha_583GC,583,2200 John R. Wooden Drive,Martinsville,IN,18109.0,,,,
vha_583GD,583,3850 Shore Drive,Indianapolis,IN,18097.0,522.0,17.0,450.0,55.0
vha_583GE,583,3851 North River Road,West Lafayette,IN,18157.0,,,,
vha_583GF,583,3791 10th Street,Edinburgh,IN,18081.0,,,,
vha_583GG,583,30 West Rampart Street,Shelbyville,IN,18145.0,,,,
vha_583QA,583,1332 Arch Haven Avenue,Bloomington,IN,18105.0,,,,
vha_583QB,583,777 North Meridian Street,Indianapolis,IN,18097.0,522.0,17.0,450.0,55.0
vha_583QC,583,4612 South Springhill Junction,Terre Haute,IN,18167.0,,,,
vha_583QD,583,5315 Lafayette Road,Indianapolis,IN,18097.0,522.0,17.0,450.0,55.0
vha_583QE,583,2669 Cold Spring Road,Indianapolis,IN,18097.0,522.0,17.0,450.0,55.0
vha_583QF,583,300 Highway 361,Crane,IN,18101.0,,,,
vha_585,585,325 East H Street,Iron Mountain,MI,26043.0,69.0,12.0,55.0,2.0
vha_585GA,585,787 Market Street,Hancock,MI,26061.0,,,,
vha_585GB,585,639 West Kemp Street,Rhinelander,WI,55085.0,,,,
vha_585GC,585,1110 10th Avenue,Menominee,MI,26109.0,,,,
vha_585GD,585,629 West Cloverland Drive,Ironwood,MI,26053.0,,,,
vha_585GF,585,813 East Lakeshore Drive,Manistique,MI,26153.0,,,,
vha_585GG,585,2002 Minneapolis Avenue,Gladstone,MI,26041.0,,,,
vha_585HA,585,1414 West Fair Avenue,Marquette,MI,26103.0,,,,
vha_585HB,585,509 Osborn Boulevard,Sault Saint Marie,MI,26033.0,,,,
vha_586,586,1500 East Woodrow Wilson Avenue,Jackson,MS,28049.0,493.0,26.0,431.0,36.0
vha_586BU,586,5354 I-55 South Frontage Road East,Jackson,MS,28049.0,493.0,26.0,431.0,36.0
vha_586GA,586,405 West Adams Street,Kosciusko,MS,28007.0,,,,
vha_586GB,586,2103 13th Street,Meridian,MS,28075.0,,,,
vha_586GC,586,1502 South Colorado Street,Greenville,MS,28151.0,,,,
vha_586GD,586,5003 Hardy Street,Hattiesburg,MS,28073.0,,,,
vha_586GE,586,105 Northgate Drive,Natchez,MS,28001.0,,,,
vha_586GF,586,824 Alabama Street,Columbus,MS,28087.0,,,,
vha_586GG,586,1308 Harrison Avenue,McComb,MS,28113.0,,,,
vha_586QA,586,1500 East Woodrow Wilson Avenue,Jackson,MS,28049.0,493.0,26.0,431.0,36.0
vha_586QB,586,6522 Dogwood View Parkway,Jackson,MS,28049.0,493.0,26.0,431.0,36.0
vha_589,589,4801 Linwood Boulevard,Kansas City,MO,29095.0,570.0,62.0,488.0,20.0
vha_589A4,589,800 Hospital Drive,Columbia,MO,29019.0,168.0,39.0,123.0,6.0
vha_589A5,589,2200 Southwest Gage Boulevard,Topeka,KS,20177.0,179.0,23.0,155.0,1.0
vha_589A6,589,4101 4th Street Trafficway,Leavenworth,KS,20103.0,,,,
vha_589A7,589,5500 East Kellogg Drive,Wichita,KS,20173.0,148.0,15.0,127.0,6.0
vha_589G1,589,702 East Young Street,Warrensburg,MO,29101.0,,,,
vha_589G2,589,2201 Summerlon Circle,Dodge City,KS,20057.0,,,,
vha_589G3,589,555 West 15th Street,Liberal,KS,20175.0,,,,
vha_589G4,589,207B East 7th Street,Hays,KS,20051.0,,,,
vha_589G5,589,1907 Harding Drive,Parsons,KS,20099.0,,,,
vha_589G7,589,1625 East 30th Street,Hutchinson,KS,20155.0,,,,
vha_589G8,589,3430 West Edgewood Drive,Jefferson City,MO,29051.0,,,,
vha_589GB,589,209 Cunningham Parkway,Belton,MO,29037.0,,,,
vha_589GC,589,501 South Hospital Drive,Paola,KS,20121.0,,,,
vha_589GD,589,322 South Prewitt Street,Nevada,MO,29217.0,,,,
vha_589GE,589,506 Rosewood Drive,Kirksville,MO,29001.0,,,,
vha_589GF,589,700 GW Lane Street,Waynesville,MO,29169.0,,,,
vha_589GH,589,940 Executive Drive,Osage Beach,MO,29029.0,,,,
vha_589GI,589,3302 South Belt Highway,St. Joseph,MO,29021.0,,,,
vha_589GJ,589,21 North 12th Street,Kansas City,KS,20209.0,,,,
vha_589GM,589,629 South Plummer,Chanute,KS,20133.0,,,,
vha_589GP,589,421 South Maple Street,Garnett,KS,20003.0,,,,
vha_589GR,589,1169 Southwind Drive,Junction City,KS,20061.0,,,,
vha_589GU,589,4821 Quail Crest Place,Lawrence,KS,20045.0,,,,
vha_589GV,589,902 South Horton Street,Fort Scott,KS,20011.0,,,,
vha_589GW,589,1410 East Iron Avenue,Salina,KS,20169.0,,,,
vha_589GX,589,3460 South Clark Street,Mexico,MO,29007.0,,,,
vha_589GY,589,207 Matlock Drive,St. James,MO,29161.0,,,,
vha_589GZ,589,1111 Euclid Drive,Cameron,MO,29049.0,,,,
vha_589HK,589,4801 East Linwood Boulevard,Kansas City,MO,29095.0,570.0,62.0,488.0,20.0
vha_589JA,589,3320 West 10th Street,Sedalia,MO,29159.0,,,,
vha_589JB,589,197 North McCleary Road,Excelsior Springs,MO,29047.0,,,,
vha_589JC,589,6830 Anderson Street,Shawnee,KS,20091.0,,,,
vha_589JD,589,1240 Banning Street,Marshfield,MO,29225.0,,,,
vha_589JE,589,2303 Higgins Road,Platte City,MO,29165.0,,,,
vha_589JF,589,4251 Northern Avenue,Kansas City,MO,29095.0,570.0,62.0,488.0,20.0
vha_589QA,589,10500 Mastin Street,Overland Park,KS,20091.0,,,,
vha_589QB,589,949 South Parklane,Wichita,KS,20173.0,148.0,15.0,127.0,6.0
vha_589QC,589,935 South Parklane,Wichita,KS,20173.0,148.0,15.0,127.0,6.0
vha_589QD,589,5500 East Kellogg Drive,Wichita,KS,20173.0,148.0,15.0,127.0,6.0
vha_590,590,100 Emancipation Drive,Hampton,VA,51650.0,409.0,13.0,385.0,11.0
vha_590GB,590,244 Clearfield Boulevard,Virginia Beach,VA,51810.0,,,,
vha_590GC,590,1845 West City Drive,Elizabeth City,NC,37139.0,,,,
vha_590GD,590,1987 South Military Highway,Chesapeake,VA,51550.0,,,,
vha_590GE,590,600 Crawford Street,Portsmouth,VA,51740.0,,,,
vha_590QA,590,100 Emancipation Drive,Hampton,VA,51650.0,409.0,13.0,385.0,11.0
vha_590QB,590,100 Emancipation Drive,Hampton,VA,51650.0,409.0,13.0,385.0,11.0
vha_593,593,6900 North Pecos Road,North Las Vegas,NV,32003.0,,,,
vha_593GC,593,220 South Lola Lane,Pahrump,NV,32023.0,,,,
vha_593GD,593,3968 North Rancho Drive,Las Vegas,NV,32003.0,645.0,23.0,598.0,24.0
vha_593GE,593,1020 South Boulder Highway,Henderson,NV,32003.0,,,,
vha_593GF,593,7235 South Buffalo Drive,Las Vegas,NV,32003.0,645.0,23.0,598.0,24.0
vha_593GG,593,4461 East Charleston Boulevard,Las Vegas,NV,32003.0,645.0,23.0,598.0,24.0
vha_593GH,593,3650 South Pointe Circle,Laughlin,NV,32003.0,,,,
vha_593QC,593,3525 West Cheyenne Avenue,North Las Vegas,NV,32003.0,,,,
vha_595,595,1700 South Lincoln Avenue,Lebanon,PA,42075.0,306.0,22.0,258.0,26.0
vha_595GA,595,5070 Ritter Road,Mechanicsburg,PA,42041.0,,,,
vha_595GC,595,212 Willow Valley Lakes Drive,Willow Street,PA,42071.0,,,,
vha_595GD,595,2762 Century Boulevard,Wyomissing,PA,42011.0,,,,
vha_595GE,595,2251 Eastern Boulevard,York,PA,42133.0,,,,
vha_595GF,595,1410 Laurel Boulevard,Pottsville,PA,42107.0,,,,
vha_595QA,595,1 Garrison Road,Annville,PA,42075.0,,,,
